///SU1 Measuring Programm Ver.2.00 beta
/// Comments: empty coil.

T,K	L, mH	R,Ohm
137.80	0.26978	6.8769
138.00	0.26973	6.8959
138.30	0.26964	6.9163
138.60	0.26987	6.9367
138.80	0.26967	6.9555
139.10	0.26978	6.9754
139.30	0.26978	6.9944
139.60	0.26987	7.0153
139.80	0.26985	7.0335
140.10	0.26998	7.0543
