///SU1 Measuring Programm Ver.2.00 beta
/// Comments: R measurements

T,K	L, mH	R,Ohm
135.60	0.00168	0.016498
135.90	0.00169	0.016459
136.10	0.00169	0.016508
136.40	0.00168	0.016485
136.70	0.00169	0.016508
136.90	0.00169	0.016731
137.20	0.00169	0.016588
137.40	0.00168	0.016631
137.70	0.00169	0.016752
137.90	0.00169	0.016773
138.20	0.00169	0.016791
138.50	0.00169	0.016770
138.70	0.00169	0.016783
139.00	0.00169	0.016764
139.20	0.00169	0.016831
139.50	0.00168	0.016968
139.70	0.00168	0.016997
140.00	0.00169	0.016901
140.20	0.00169	0.016962
140.50	0.00169	0.017080
